"Description","Industry","Org Id","Created At","Specialities","Website","Slug","Country","Size","Enrich Company","Locality","Updated At","Employee Count","Company URL"
"Our Background

99tests is a crowd-sourced software testing platform that enables people to build beautiful software products. Testing in the cloud gives product owners the ability to scale their testing effort & get on-demand access to QA teams. A high quality product can thus be released in a shorter time.
With 20,000+ testers in over 150+ countries, we have helped our clients more than 80,000 bugs. We helped 200+ companies across the globe, make their apps more awesome! 

Our Philosophy

We believe in Think Passion. People who make a difference by building products that they care about, people who care about their users, about their code and the impact they have. 

Our Platform 

99tests platform gives software product developers the ability to compress long testing cycles to short bursts. The first advantage is that, a large number of defects can be uncovered in a short time, enabling a quicker time-to-market.
Another advantage is the on-demand access to global community of testers. Since there is a direct correlation between the number of testers testing a software & the number of defects that can be uncovered, software entrepreneurs can add many skilled testers to test their product instantly.  All this without hiring more people.
Lastly we follow a pay-for-results model. Unlike outsourcing, where payment is based on number of hours clocked in, testers at 99tests are rewarded based on the results of their testing effort. Allowing you to monitor & consume the testing effort in a result-oriented manner.

Join Us

We are always happy to hear from self-motivated professionals who are passionate about their craft. As part of the team, you will work with some of the biggest companies, test the latest applications and access the latest software tools. Feel free to reach out to us at contact@99tests.com 

Connect With Us

Twitter: https://twitter.com/99tests
Facebook: https://www.facebook.com/99tests
Careers: http://careers.99tests.com/",,1389671,"2023-10-02T05:48:12.662Z","Security Testing, Test Automation, Functionality Testing, Crowd Testing","99tests.com","99tests","IN","11-50 employees","99tests","Bangalore, Select State","2023-10-02T17:10:49.292Z",12,"http://linkedin.com/company/99tests"
"aapkapainter is an online curated service delivery marketplace for painting and related services.
Idea of aapkapainter is rooted in removing the pain from painting and is built on an aim to streamline the entire painting process and standardize the experience of getting spaces painted, through technology integration.

Service delivery is what we focus at and an awesome painting experience is what we provide our customers, all the time. We believe in creating happy homes on both sides of marketplace.

We are on a mission to revolutionize the way homes are getting painted.","Consumer Services",3366811,"2023-10-02T05:48:12.662Z","Interior & Exterior Painting, Painter for a day!, Startup Painting Solutions, Textures & Designer Walls","aapkapainter.com","aapkapainter","IN","51-200 employees","aapkapainter.com","Bangalore, Karnataka","2023-10-02T17:10:49.292Z",129,"http://linkedin.com/company/aapkapainter"
"Founded in 2006, ABIBA Systems is a leading provider of Advanced Big Data Analytics. Our mission is to provide the most flexible, powerful, scalable and user friendly platforms for Business Intelligence, Advanced Analytics, Campaign Management, Identity, Loyalty and more - offered either on-premises or in the cloud.


Our Technology Focus   Business Intelligence, Data mining, Advanced Analytics, Big Data, Mobile Social Network Analysis, Spatio- temporal Analytics.

Products and Solutions
1. TeleView (Enterprise BI),
2. Champion (Customer Analytics- Segmentation and Classification, Social Media Analytics, Silent Roamer   Analytics, What-if Simulator, Network Optimization and Performance Analytics, Social Network Analytics),
3. CampPro (Campaign Management)
4. Security & Crime Analytics
5. Social Media Analytics(SOMA)

Awards & Accolades

	Winner of NASSCOM Emerge 50 2012 Awards 
	Ranked 6th at the Deloitte Technology Fast 50 2012 Awards
	Winner  of TiE Lumis Awards 2012  for Entrepreneurial Excellence
	Inducted into 'Marketing Hall of Fame' by Paul Writer at the CMO Canclave 2011
	CampPro ranked among the top 10 Cool Enterprise Products 2011 by Silicon India
	Ranked among Top BI & Analytics Companies in India by DataQuest
	Winner Red Herring Awards Asia 2010",,473779,"2023-10-02T05:48:12.662Z","Big Data, Consulting, Telecom, Social Media Analytics, Advanced Analytics (Champion), Business Intelligence (TeleView), Digital Micro- marketing (CampPro Plus), Revenue & Business Assurance (ERAS.2), Silent Roaming Analytics, Data Migration & EDW","abibasystems.com","abiba-systems-pvt-ltd.-bangalore","IN","11-50 employees","ABIBA Systems","Bangalore, Karnataka","2023-10-02T17:10:49.292Z",44,"http://linkedin.com/company/abiba-systems-pvt-ltd.-bangalore"
"We are an ed-tech company that provides effective solutions for JEE & NEET aspirants with practical tools. Established in 2020, The Founder Anshul Singhal along with our super experienced professors has produced 50+ IITians & doctors from all around the country. They help the aspirants every step of the way to gain their spot in esteemed industries such as IIT Mumbai, Delhi, and more. They have designed Acadza in a way that it thinks from the students' perspective and strives to relieve the stress of the aspirants. 
The superior interface for learners can be easily customized for the tests, learning, duration, difficulty, and more. Acadza can also predicts the college according to your percentile and scores.  
We thrive to form a learning experience that is effortless and fun for the future of the country.
Acadza has formed the learning experience manageable for the aspirants. It equips learners with a sheet of formulas and guidance to retain the formulas better and faster. With different tools and assignments, Acadza educates learners till the time the aspirants gain their confidence and master the subject. Theres no limitation on learning, practicing, and revising.",,77276906,"2023-10-02T05:48:12.662Z","","acadza.com","acadza-technologies-pvt-ltd","IN","11-50 employees","Acadza Technologies Pvt. Ltd","Mumbai, Maharashtra","2023-10-02T17:10:49.292Z",30,"https://linkedin.com/company/acadza-technologies-pvt-ltd"
"Great culture is the ultimate driver of organizational success. Achievers employee voice and recognition solutions bring your organizations values and strategy to life by activating employee participation and accelerating a culture of performance. 
Achievers leverages the science behind behavior change, so your people and your organization can experience sustainable, data-driven business results anywhere in the world. Integrated insights fuel smarter solutions that deliver just-in-time nudges to the entire organization and an industry-best customer success and support team guides you on every step of the journey. 

Follow us 
Engage Blog: http://achievers.com/blog
Twitter: https://twitter.com/achievers
Facebook: https://www.facebook.com/achieverscommunity
YouTube: https://www.youtube.com/user/AchieversVideos
Instagram: https://www.instagram.com/achievershq",,2314366,"2023-10-02T05:48:12.662Z","Rewards and Recognition, Employee Engagement, Employee Recognition, Employee Experience, Social Recognition, Employee Rewards, Employee Success, Global Rewards, Employee Recognition Software, Workforce Engagament","achievers.com","achievers","CA","501-1,000 employees","Achievers","Toronto, Ontario","2023-10-02T17:10:49.292Z",951,"https://linkedin.com/company/achievers/about"
"We are an award winning global 3D & XR technology company that is leading the XR & Metaverse roadmap of fortune 500 companies and enabling brands with end-to-end creation & deployment of immersive customer experiences across web, app, & in-store, and reach spanning all devices.

These experiences come with stunning graphics quality and includes 3D configurator, AR, VR, Virtual Assistant, and Metaverse solutions for the automotive, home décor, and fashion & accessories industries.

With office presence across India & US, the company is a pioneer in XR with 6+ years of expertise and a go-to option for global brands for driving real business outcomes with enhanced engagement & conversions including Stellantis, Lexus, HUL, Mahindra, Asian Paints, MG Motor, and Titan.

For more information and partnership, visit our website or write to us!",,6616655,"2023-10-02T05:48:12.662Z","Augmented Reality, Automotive Marketing, Automotive, Gamification, Virtual Reality, Unreal Engine, Personalization, Multiplayer, Metaverse, Virtual Sales Assistant, Cloud Streaming, 3D Configurator, Immersive Experience, Virtual Commerce, Virtual Showroom, Car Configurators, Dealership Digitisation, Virtual Test Drive, AWS/Google Cloud, 3D Car Comparison, XR Streaming, Virtual Auto Show","metadome.ai","metadome","US","51-200 employees","Metadome.ai","Troy, Michigan","2023-10-02T17:10:49.292Z",71,"https://in.linkedin.com/company/metadome"
"We are reimagining audio! Adori transforms passive audio into premium, actionable experiences by incorporating interactive videos, visual imagery, clickable links, and more.

Creators and publishers have the power to seamlessly blend podcast audio with interactive visual elements to enhance their content, provide a more engaging experience for their audiences, and maximize monetization using multiple revenue strategies. 

Are you a podcaster, network or brand looking to Adorify your audio content? Reach out to us to schedule a demonstration!","Software Development",3183996,"2023-10-02T05:48:12.662Z","","adorilabs.com","adori-labs-inc-","US","11-50 employees","Adori Labs, Inc.","Santa Clara, CA","2023-10-02T17:10:49.292Z",17,"http://www.linkedin.com/company/adori-labs-inc-"
"AdPushup was formed in 2014 with a simple idea: While A/B testing was becoming popular, no one was using it to optimize publisher-side ad layouts. Our founders built and launched a prototype to get proof-of-concept, which resulted in double-digit revenue growth for our first website. Since then, weve garnered top media mentions, raised multiple rounds of funding, and expanded to being a one-stop revenue optimization platform for web publishers. In addition to being a Google NPM AdX Partner, were a Microsoft Ventures backed startup, and winner of the NASSCOM Emerge 50 award. Today, we serve and optimize over 2 billion monthly ad impressions for our 300+ publishing partners worldwide.",,3346670,"2023-10-02T05:48:12.662Z","Header Bidding, Ad Network Optimization, Ad Revenue Optimization, Advanced A/B Testing, Enterprise Ad Analytics","adpushup.com","adpushup","US","51-200 employees","AdPushup","Wilmington, Delaware","2023-10-02T17:10:49.292Z",159,"http://www.linkedin.com/company/adpushup"
"Adya helps enterprises manage and secure their SaaS applications. 

As enterprises move to cloud applications - GSuite, O365, Slack, etc - they find it difficult to administer this SaaS sprawl. They are confronted with three problems: 

a) Administration: Each new SaaS application brings with it a new management console that an admin has to get familiar with and repeat the same set of steps. This is a waste of time & is error-prone.

b) License Management: While the per-month/ per-user pricing of SaaS apps starts off looking inexpensive, the costs spiral quickly with more users and more SaaS apps. 

c) Security and Compliance : Cloud applications make it very easy to collaborate and to share data widely.  IT would like to know what data is shared, which external users have access and which users are exposing data.

Adya solves these problems. We provide a single tool with the following benefits:

1. Central Administration: Perform the most critical and oft-repeated tasks from a single console to save time and to reduce administrator errors.

2. Security and Compliance: Understand where sensitive data is, who outside the company has access, who inside the company has been sharing it and take steps to prevent it. Get alerted in real-time if sensitive data is exposed..

3. Auditing and Reporting: Get pre-defined & custom reports to understand activity of privileged users, of employees on their way out the door, consultants etc. Prepare reports quickly to satisfy your auditor on who has access to critical data  no matter where in the cloud that data may be.

4. License Management: Understand how many licenses are provisioned for your critical (and expensive!) SaaS applications and get alerted if licenses are under-utilized to find potential savings. Manage your licenses from a single console and get an impartial and independent third party to help save you money.

Try it out at https://www.adya.io/. An overview video is at https://www.youtube.com/watch?v=-XlOQnv2o5o","Software Development",13237279,"2023-10-02T05:48:12.662Z","Computer Security, Data Security, Enterprise SaaS, Data Access Governance","adya.io","adya.io","IN","2-10 employees","Adya (acquired by Qualys)","Bengaluru, Karnataka","2023-10-02T17:10:49.292Z",8,"http://linkedin.com/company/adya.io"
"Forging the Future of Education. AEON Learning is out to disrupt the world of professional education targeting working professionals. AEON Learning now offers a range of options for working professionals ranging from management degrees from prestigious universities to leading edge technology skills taught by highly specialised mentors. Powered by a matchless online technology platform.

Between Avagmah and Acadgild, AEON Learning now offers corporates unmatched range of courses and the flexibility to structure individual packages that meet the organisational needs of corporates from diverse industries.","E-Learning Providers",13592011,"2023-10-02T05:48:12.662Z","","aeonlearning.net","aeon-learning","IN","51-200 employees","AEON Learning","Bangalore, Karnataka","2023-10-02T17:10:49.292Z",9,"http://linkedin.com/company/aeon-learning"
"Aerchain is the next-generation autonomous sourcing platform that helps enterprises simplify, optimize, and automate their sourcing operations. We are building the worlds most intuitive & intelligent sourcing platform where technology is not just an enabler, but a decision-maker. 
#Aerchain","Software Development",14518748,"2023-10-02T05:48:12.662Z","sourcing","aerchain.io","aerchain-io","IN","51-200 employees","Aerchain","BENGALURU, Karnataka","2023-10-02T17:10:49.292Z",60,"https://linkedin.com/company/aerchain-io/about"
"Aeron Systems located in Pune, India, focuses on development of technology applying its expertise in embedded electronics to domains  encompassing aerospace, automotive, renewable energy and agriculture.

The company is offering products in two technology segments, Inertial Sensors and IoT devices. While both technology segments are very vast, Aeron is creating space for itself by following mantra of affordable excellence. Aeron believes that innovation is useful when it is affordable.

Aeron's inertial sensors line of products include Inertial navigation system (INS-GPS), Tilt sensor (inclinometer), Digital magnetic compass, Tilt switch. 

In IoT technology, Aeron is offering wireless data logger, meteorological station for solar power plants, weather station for agriculture and more.   

Aeron was founded by two technopreneurs, products of premier engineering institutes in India. Aeron has multi-dimensional team of engineers. Passion for technology and desire to build great products keep the team running.",,265088,"2023-10-02T05:48:12.662Z","air quality, air quality monitoring, weather monitoring, water monitoring, real time monitoring, embedded electronics, GSM/GPRS communication, inertial navigation technology, Internet of things devices, low power consumption devices, orientation sensors, Wireless data gateways, Wireless data loggers, highway monitoring, flood monitoring","aeronsystems.com","aeron-systems-pvt.-ltd.","IN","51-200 employees","Aeron Systems","Pune, Maharashtra","2023-10-02T17:10:49.292Z",108,"http://linkedin.com/company/aeron-systems-pvt.-ltd."
"Aerologix delivers aerial intelligence on-demand by connecting drone pilots with customers using smartphone technology and purpose-built apps. Flight plans can be auto-generated and dispatched via Aerocloud flight management system. Maps and 3D models of the built and natural environment are created using Aerologix Maps, and data can be viewed and shared in the portal. 

Aerologix has over 27,000 drone pilots on a network across Australia and New Zealand servicing hundreds of satisfied customers in a variety of domains, including construction, utilities, telco, renewables and more! 

If you are a drone pilot looking for work, please download the app from the app stores (both IOS and Android), or if you need aerial intelligence on demand, please check out aerologix.com or contact sales@aerologix.com",,14622468,"2023-10-02T05:48:12.662Z","","aerologix.com","aerologix","AU","11-50 employees","Aerologix","Manly, New South Wales","2023-10-02T17:10:49.292Z",30,"http://www.linkedin.com/company/aerologix"
"Travel is not just an opportunity, rather a feeling that Aertrip wishes to embed in our customers. Since 2012, we have created a ripple effect in creating experiences for our travellers in an effortless manner. At Aertrip, transparency is the key to all our top-notch services. Known to satisfy travel dreams, we make you perpetually rich in experiences and swear to value your money through knowledgeable assistance.

Based in Mumbai, Aertrip has diverse operations across the country. We have an open culture and strongly influence our work ethics based on the core values of quality, dedication, trust and excellence in service.
Over the years, Aertrip has developed an extensive network of business partners, a wealth of experience in the travel industry, and an in-depth knowledge of our exciting, off-the-beaten-path destinations. As a fully-licensed travel agency, we offer over the best deals ---- which can be customised to specific needs and interests globally. 
For more information, visit aertrip.com

Interested in joining us? Check out career opportunities here: linkedin.com/company/aertrip/jobs
aertrip.com/careers

You can also find us here:
Facebook Aertrip - fb.com/aertrip
Instagram @aertrip - instagram.com/aertrip/ #aertrip



Aertrip
aertrip.com",,2534713,"2023-10-02T05:48:12.662Z","Hotels, Travel, Visa, Product Innovation, Travel Technology, Holiday Package, Domestic & International Flights","aertrip.com","aertrip","IN","51-200 employees","Aertrip","Mumbai, India","2023-10-02T17:10:49.292Z",74,"http://linkedin.com/company/aertrip"
"AerX Labs is Bangalore based avionics/flight simulation start-up that makes professional grade certifiable simulators for Airlines, Flight Schools, Universities and Corporate. AerX is currently working on connected simulators and deep learning to assess risk behaviours for pilot training and mixed reality to disrupt the space for innovative, cost competitive simulation. AerX have an installation base of 40+ products including 18 simulators across all segments of customers.

AerX Labs is an Intel India & Bosch India incubated startup","Research",9506400,"2023-10-02T05:48:12.662Z","","aerxlabs.com","aerxlabs","IN","11-50 employees","AerX Labs","Bangalore, Karnataka","2023-10-02T17:10:49.292Z",22,"http://linkedin.com/company/aerxlabs"
"Aevas mission is to bring the next wave of perception to a broad range of applications from automated driving to industrial robotics, consumer electronics, consumer health, security and beyond. Aeva is transforming autonomy with its groundbreaking sensing and perception technology that integrates all key LiDAR components onto a silicon photonics chip in a compact module. Aeva 4D LiDAR sensors uniquely detect instant velocity in addition to 3D position, allowing autonomous devices like vehicles and robots to make more intelligent and safe decisions.",,18290176,"2023-10-02T05:48:12.662Z","","aeva.com","aevainc","US","201-500 employees","Aeva","Mountain View, California","2023-10-02T17:10:49.292Z",291,"https://linkedin.com/company/aevainc/about"
"Affluence Infosystems Pvt. Ltd is an ISO 9001:2015 certified Automotive and Electronics Company incorporated in the year 2013. We develop end-to-end solutions in diverse fields: Electronics, Automotive, Wireless Communications, and Battery Management. We have a strong and dedicated Research & Development team who works rigorously to develop new versions of products or improve current designs. We strive to develop the best technology and services that improve the processes, minimizes the cost & time, and increases efficiency. We work with quality and integrity to deliver innovative products &  services to our customers..

Vision : To deliver superior and sustainable products and services in the fields of  Electronics, Automotive, and Residual energy.

Mission : To deliver superior and sustainable products and services in the fields of  Electronics, Automotive, and Residual energy.","Motor Vehicle Manufacturing",13574654,"2023-10-02T05:48:12.662Z","Automotive, BMS, Telematics, GPS Trackers, BPS, EV Batteries, Vehicle tracking devices","affluencesystems.com","affluence-infosystems","IN","51-200 employees","Affluence Infosystems","Hyderabad, Telangana","2023-10-02T17:10:49.292Z",34,"http://www.linkedin.com/company/affluence-infosystems"
"Affinsys has created domain-specific Global Composite AI platforms enabling Banks, Insurers and Telcos in their AI and Digital customer experience transformation. The platform has the most extensive customer journeys (220+) covering Digital Sales, Onboarding, CX and Engagement in the easiest (low code), scalable (clients with 10 million + customers) and cost-effective way. With live customers across the Middle East, UK, Asia and Africa, our innovations have been recognized by a number of awards 

1.	Winner of Startup world cup  MENA 
2.	Winner of Start-up of the year  Seamless ME 2020
3.	Global Fintech of the Year, FinX Awards 2019, UAE
4.	Top 50 Global Fintech - Abu Dhabi Fintech
5.	Top 50 AI companies  The Mumbai AI summit 
6.	Winner of Finablr IoT challenge for innovative cross border payment solution 
7.	Winner of FE Xcelerate, Vietnam
8.	Winner of Emirates NBD Bank Hyper personalisation challenge  Dubai Chamber Market access
9.	Emirates NBD open banking sandbox  certified fintech
10.	Top 5 Artificial Intelligence Solutions impacting FinTech

BankBuddy is supported by leading innovation accelerators like 
	DIFC Fintech hive, UAE
	Dice Fintech ace, India
	AI ventures  UAE
	Startup Academy of Money2020 Asia, Singapore
	Startup Academy Money2020 Europe, Amsterdam
	Luxembourg Accelerator Bootcamp, Luxembourg
	Microsoft for Startups, UAE
	FE xcelerate, Vietnam
	Village Capital, USA
	JGI Accelerator, India
	Dubai Chamber, Market access & Scaleup
	FintechAccel, USA

Get in touch with us at hello@affinsys.com",,43181245,"2023-10-02T05:48:12.662Z","","affinsys.com","affinsys-ai","AE","51-200 employees","Affinsys AI (BankBuddy.ai, TelcoBuddy.ai, InsureBuddy.ai)","Dubai","2023-10-02T17:10:49.292Z",49,"http://www.linkedin.com/company/affinsys-ai"
